"City","inventory_sales_ratio","price_ratio","pct_sold_below_list","buyer_rank"
Mountain View,0.62,0.89,25.00,154
Corona Del Mar,0.61,1.46,67.62,156
Merced,0.60,1.15,48.81,157
West Covina,0.63,1.03,36.22,158
Apple Valley,0.79,1.11,35.48,159
Danville,0.52,1.16,55.02,160
Encinitas,0.55,1.17,52.20,160
Palmdale,0.83,1.08,29.59,162
Martinez,0.45,0.91,38.16,163
Oceanside,0.43,0.99,43.30,164
Paradise,0.83,1.18,37.88,165
North Hills,0.59,1.02,35.23,166
Lancaster,0.76,1.07,29.87,167
Camarillo,0.51,1.07,44.86,168
Claremont,0.52,1.01,38.10,168
Placentia,0.47,0.88,34.35,168
Oxnard,0.66,1.22,45.55,171
Hollister,0.79,1.1,33.57,171
Hayward,0.65,0.99,25.19,171
Brentwood,0.53,1.2,53.73,174
West Hills,0.62,1.09,40.94,175
San Mateo,0.48,0.81,30.41,176
Torrance,0.41,0.9,37.41,177
Victorville,0.83,1.08,26.06,178
San Dimas,0.75,1.38,45.24,179
Burbank,0.52,1.03,39.04,179
La Habra,0.51,1.0,36.96,179
Laguna Niguel,0.59,1.33,52.71,182
Seal Beach,0.47,1.18,56.77,183
Temecula,0.79,1.36,42.04,184
San Francisco,0.54,0.87,22.44,185
Hemet,0.74,1.12,34.39,186
Concord,0.45,0.87,32.81,186
Vista,0.55,1.11,43.53,188
Fallbrook,0.69,1.27,43.14,188
Gilroy,0.79,1.28,39.13,190
Winchester,0.65,1.02,24.21,191
Dana Point,0.62,1.73,55.09,192
Atascadero,0.44,1.08,47.54,193
Montebello,0.62,1.22,44.68,193
Huntington Beach,0.54,1.24,49.22,195
Santa Cruz,0.69,1.21,39.26,196
Pasadena,0.66,1.11,35.47,196
Garden Grove,0.47,0.99,35.29,196
Chula Vista,0.48,0.97,33.66,199
Escondido,0.56,1.17,43.93,200
Ramona,0.79,1.25,34.59,201
La Mesa,0.58,1.07,34.07,202
Lake Elsinore,0.72,1.15,33.94,202
Sunnyvale,0.48,0.89,24.21,204
La Verne,0.63,1.46,47.56,205
Pittsburg,0.72,1.14,30.65,206
Spring Valley,0.48,0.96,28.65,206
Richmond,0.49,0.89,21.68,206
Oakley,0.58,1.1,37.76,209
Compton,0.51,1.01,29.76,210
Oakland,0.46,0.72,19.40,211
Phelan,0.71,1.13,29.70,212
Lafayette,0.40,0.96,33.82,213
