"City","inventory_sales_ratio","price_ratio","pct_sold_below_list","competative_rank"
Upland,0.67,1.0,40.00,158
Sacramento,0.85,0.97,28.57,160
Glendale,0.67,0.92,35.74,161
Rancho Santa Margarita,0.51,0.92,46.11,161
La Jolla,0.82,1.93,71.36,161
Tarzana,0.97,1.66,56.14,164
Banning,0.74,1.05,42.44,165
Rosamond,0.93,0.94,23.19,166
Port Hueneme,0.67,1.02,43.30,166
Studio City,0.94,1.42,54.79,168
Laguna Hills,0.55,0.75,40.40,169
Hacienda Heights,0.71,1.07,47.58,170
Santa Ana,0.68,0.97,39.58,171
Oroville,0.99,1.11,41.36,171
Chino Hills,0.75,1.18,55.45,171
Chatsworth,0.85,1.38,58.54,174
Alpine,1.08,0.98,22.64,175
Sylmar,0.84,0.99,33.83,175
Ontario,0.82,1.06,41.30,175
Woodland Hills,0.82,1.21,52.58,178
Walnut Creek,0.50,0.78,44.91,179
San Pedro,0.66,1.03,46.41,180
Magalia,1.04,1.14,43.28,181
Redondo Beach,0.51,0.93,48.36,182
Desert Hot Springs,1.07,1.29,48.60,182
Culver City,0.74,0.89,33.88,184
Stockton,0.94,1.07,40.51,185
Imperial Beach,1.51,1.22,44.26,185
Azusa,0.83,1.06,42.22,187
Diamond Bar,0.91,1.32,55.56,187
San Gabriel,0.81,0.91,29.90,189
Running Springs,1.74,1.22,43.86,189
Rowland Heights,0.88,1.3,57.97,191
California City,1.00,1.08,41.38,192
Canoga Park,0.79,1.05,43.94,192
Cambria,1.04,1.46,58.00,194
Santa Clara,0.83,0.86,29.13,195
Porter Ranch,0.88,1.25,56.20,195
Hawthorne,0.56,0.92,47.37,197
Canyon Lake,0.98,1.34,57.29,198
Van Nuys,0.67,1.02,48.00,199
Lake Forest,0.65,1.01,48.18,199
Newport Beach,0.97,1.55,71.76,201
Milpitas,0.89,0.97,35.16,202
Watsonville,1.16,1.46,57.97,203
Los Gatos,0.98,1.17,49.23,204
Santa Monica,0.96,1.25,55.97,205
Pacific Palisades,1.48,2.32,64.52,206
Walnut,1.07,1.26,54.12,207
San Jose,0.81,0.92,37.36,208
San Diego,0.65,0.96,46.95,209
Laguna Beach,1.32,1.95,68.94,210
Sonora,1.58,1.34,54.43,211
Venice,1.08,1.36,59.79,212
Rancho Santa Fe,1.21,2.07,72.94,213
Aliso Viejo,0.57,0.91,48.94,214
Rancho Mission Viejo,0.71,0.98,45.32,215
Calabasas,1.09,1.48,71.00,216
Inglewood,0.91,1.07,47.62,217
Alhambra,0.77,1.03,48.09,217
Carmel,1.43,1.58,68.42,217
Monterey Park,0.79,1.08,55.26,220
Agoura Hills,1.04,1.28,59.55,221
Beverly Hills,1.92,1.62,65.97,222
Pleasanton,0.58,0.94,53.40,223
Clearlake,1.39,1.39,63.16,224
